Timestamp,SensorValue
2023-09-22 23:07:32,984,0
2023-09-22 23:07:32,982,0
2023-09-22 23:07:32,981,0
2023-09-22 23:07:32,978,2
2023-09-22 23:07:32,977,3
2023-09-22 23:07:32,976,4
2023-09-22 23:07:32,980,0
2023-09-22 23:07:32,984,0
2023-09-22 23:07:33,982,0
2023-09-22 23:07:33,984,0
2023-09-22 23:07:33,985,0
2023-09-22 23:07:33,986,0
2023-09-22 23:07:33,988,0
2023-09-22 23:07:33,985,0
2023-09-22 23:07:33,983,0
2023-09-22 23:07:33,980,0
2023-09-22 23:07:33,981,0
2023-09-22 23:07:33,983,0
2023-09-22 23:07:34,986,0
2023-09-22 23:07:34,977,3
2023-09-22 23:07:34,982,0
2023-09-22 23:07:34,978,2
2023-09-22 23:07:34,982,0
2023-09-22 23:07:34,985,0
2023-09-22 23:07:34,986,0
2023-09-22 23:07:34,987,0
2023-09-22 23:07:34,985,0
2023-09-22 23:07:34,985,0
2023-09-22 23:07:35,984,0
2023-09-22 23:07:35,983,0
2023-09-22 23:07:35,980,0
2023-09-22 23:07:35,977,3
2023-09-22 23:07:35,978,2
2023-09-22 23:07:35,977,3
2023-09-22 23:07:35,977,3
2023-09-22 23:07:35,984,0
2023-09-22 23:07:35,982,0
2023-09-22 23:07:35,984,0
2023-09-22 23:07:36,985,0
2023-09-22 23:07:36,986,0
2023-09-22 23:07:36,988,0
2023-09-22 23:07:36,985,0
2023-09-22 23:07:36,983,0
2023-09-22 23:07:36,987,0
2023-09-22 23:07:36,986,0
2023-09-22 23:07:36,980,0
2023-09-22 23:07:36,980,0
2023-09-22 23:07:36,979,1
2023-09-22 23:07:37,980,0
2023-09-22 23:07:37,982,0
2023-09-22 23:07:37,985,0
2023-09-22 23:07:37,984,0
2023-09-22 23:07:37,986,0
2023-09-22 23:07:37,986,0
2023-09-22 23:07:37,986,0
2023-09-22 23:07:37,985,0
2023-09-22 23:07:37,984,0
2023-09-22 23:07:38,986,0
2023-09-22 23:07:38,983,0
2023-09-22 23:07:38,978,2
2023-09-22 23:07:38,981,0
2023-09-22 23:07:38,978,2
2023-09-22 23:07:38,979,1
2023-09-22 23:07:38,576,404
2023-09-22 23:07:38,312,668
2023-09-22 23:07:38,223,757
2023-09-22 23:07:38,180,800
2023-09-22 23:07:39,158,822
2023-09-22 23:07:39,146,834
2023-09-22 23:07:39,140,840
2023-09-22 23:07:39,133,847
2023-09-22 23:07:39,129,851
2023-09-22 23:07:39,131,849
2023-09-22 23:07:39,128,852
2023-09-22 23:07:39,131,849
2023-09-22 23:07:39,134,846
2023-09-22 23:07:39,125,855
2023-09-22 23:07:40,125,855
2023-09-22 23:07:40,120,860
2023-09-22 23:07:40,127,853
2023-09-22 23:07:40,130,850
2023-09-22 23:07:40,122,858
2023-09-22 23:07:40,128,852
2023-09-22 23:07:40,135,845
2023-09-22 23:07:40,126,854
2023-09-22 23:07:40,129,851
2023-09-22 23:07:40,127,853
2023-09-22 23:07:41,121,859
2023-09-22 23:07:41,126,854
2023-09-22 23:07:41,138,842
2023-09-22 23:07:41,151,829
2023-09-22 23:07:41,150,830
2023-09-22 23:07:41,156,824
2023-09-22 23:07:41,159,821
2023-09-22 23:07:41,159,821
2023-09-22 23:07:41,162,818
2023-09-22 23:07:41,154,826
2023-09-22 23:07:42,155,825
2023-09-22 23:07:42,156,824
2023-09-22 23:07:42,152,828
2023-09-22 23:07:42,151,829
2023-09-22 23:07:42,149,831
2023-09-22 23:07:42,144,836
2023-09-22 23:07:42,150,830
2023-09-22 23:07:42,144,836
2023-09-22 23:07:42,148,832
2023-09-22 23:07:42,155,825
2023-09-22 23:07:43,155,825
2023-09-22 23:07:43,151,829
2023-09-22 23:07:43,158,822
2023-09-22 23:07:43,161,819
2023-09-22 23:07:43,163,817
2023-09-22 23:07:43,164,816
2023-09-22 23:07:43,157,823
2023-09-22 23:07:43,160,820
2023-09-22 23:07:43,162,818
2023-09-22 23:07:43,161,819
2023-09-22 23:07:44,176,804
2023-09-22 23:07:44,180,800
2023-09-22 23:07:44,180,800
2023-09-22 23:07:44,175,805
2023-09-22 23:07:44,180,800
2023-09-22 23:07:44,170,810
2023-09-22 23:07:44,172,808
2023-09-22 23:07:44,176,804
2023-09-22 23:07:44,178,802
2023-09-22 23:07:44,170,810
2023-09-22 23:07:45,184,796
2023-09-22 23:07:45,177,803
2023-09-22 23:07:45,175,805
2023-09-22 23:07:45,227,753
2023-09-22 23:07:45,484,496
2023-09-22 23:07:45,837,143
2023-09-22 23:07:45,963,17
2023-09-22 23:07:45,1001,0
2023-09-22 23:07:45,1010,0
2023-09-22 23:07:45,1013,0
2023-09-22 23:07:46,1016,0
2023-09-22 23:07:46,1016,0
2023-09-22 23:07:46,1018,0
2023-09-22 23:07:46,1016,0
2023-09-22 23:07:46,1017,0
2023-09-22 23:07:46,1018,0
2023-09-22 23:07:46,1018,0
2023-09-22 23:07:46,1018,0
2023-09-22 23:07:46,1016,0
2023-09-22 23:07:46,1019,0
2023-09-22 23:07:47,1018,0
2023-09-22 23:07:47,1017,0
2023-09-22 23:07:47,1017,0
2023-09-22 23:07:47,1019,0
2023-09-22 23:07:47,1018,0
2023-09-22 23:07:47,1018,0
2023-09-22 23:07:47,1017,0
2023-09-22 23:07:47,1017,0
2023-09-22 23:07:47,1015,0
2023-09-22 23:07:47,1009,0
2023-09-22 23:07:48,973,7
2023-09-22 23:07:48,810,170
2023-09-22 23:07:48,448,532
2023-09-22 23:07:48,284,696
2023-09-22 23:07:48,226,754
2023-09-22 23:07:48,196,784
2023-09-22 23:07:48,183,797
2023-09-22 23:07:48,174,806
2023-09-22 23:07:48,161,819
2023-09-22 23:07:48,151,829
2023-09-22 23:07:49,147,833
2023-09-22 23:07:49,140,840
2023-09-22 23:07:49,138,842
2023-09-22 23:07:49,140,840
2023-09-22 23:07:49,141,839
2023-09-22 23:07:49,134,846
2023-09-22 23:07:49,139,841
2023-09-22 23:07:49,141,839
2023-09-22 23:07:49,133,847
2023-09-22 23:07:50,139,841
2023-09-22 23:07:50,140,840
2023-09-22 23:07:50,138,842
2023-09-22 23:07:50,144,836
2023-09-22 23:07:50,141,839
2023-09-22 23:07:50,143,837
2023-09-22 23:07:50,143,837
2023-09-22 23:07:50,142,838
2023-09-22 23:07:50,145,835
2023-09-22 23:07:50,142,838
2023-09-22 23:07:51,147,833
2023-09-22 23:07:51,136,844
2023-09-22 23:07:51,145,835
2023-09-22 23:07:51,144,836
2023-09-22 23:07:51,144,836
2023-09-22 23:07:51,148,832
2023-09-22 23:07:51,138,842
2023-09-22 23:07:51,148,832
2023-09-22 23:07:51,148,832
2023-09-22 23:07:51,148,832
2023-09-22 23:07:52,151,829
2023-09-22 23:07:52,149,831
2023-09-22 23:07:52,154,826
2023-09-22 23:07:52,157,823
2023-09-22 23:07:52,152,828
2023-09-22 23:07:52,155,825
2023-09-22 23:07:52,154,826
2023-09-22 23:07:52,155,825
2023-09-22 23:07:52,149,831
2023-09-22 23:07:52,152,828
2023-09-22 23:07:53,148,832
2023-09-22 23:07:53,150,830
2023-09-22 23:07:53,155,825
2023-09-22 23:07:53,167,813
2023-09-22 23:07:53,168,812
2023-09-22 23:07:53,167,813
2023-09-22 23:07:53,162,818
2023-09-22 23:07:53,185,795
2023-09-22 23:07:53,249,731
2023-09-22 23:07:53,275,705
2023-09-22 23:07:54,288,692
2023-09-22 23:07:54,306,674
2023-09-22 23:07:54,309,671
2023-09-22 23:07:54,316,664
2023-09-22 23:07:54,306,674
2023-09-22 23:07:54,233,747
2023-09-22 23:07:54,198,782
2023-09-22 23:07:54,185,795
2023-09-22 23:07:54,177,803
2023-09-22 23:07:54,172,808
2023-09-22 23:07:55,171,809
2023-09-22 23:07:55,167,813
2023-09-22 23:07:55,167,813
2023-09-22 23:07:55,165,815
2023-09-22 23:07:55,168,812
2023-09-22 23:07:55,160,820
2023-09-22 23:07:55,162,818
2023-09-22 23:07:55,945,35
2023-09-22 23:07:55,977,3
2023-09-22 23:07:55,986,0
2023-09-22 23:07:56,982,0
2023-09-22 23:07:56,981,0
2023-09-22 23:07:56,985,0
2023-09-22 23:07:56,989,0
2023-09-22 23:07:56,988,0
2023-09-22 23:07:56,983,0
2023-09-22 23:07:56,986,0
2023-09-22 23:07:56,984,0
2023-09-22 23:07:56,984,0
2023-09-22 23:07:56,984,0
2023-09-22 23:07:57,978,2
2023-09-22 23:07:57,977,3
2023-09-22 23:07:57,980,0
2023-09-22 23:07:57,987,0
2023-09-22 23:07:57,981,0
2023-09-22 23:07:57,986,0
2023-09-22 23:07:57,985,0
2023-09-22 23:07:57,985,0
2023-09-22 23:07:57,987,0
2023-09-22 23:07:57,986,0
2023-09-22 23:07:58,986,0
2023-09-22 23:07:58,984,0
2023-09-22 23:07:58,984,0
2023-09-22 23:07:58,981,0
2023-09-22 23:07:58,981,0
2023-09-22 23:07:58,980,0
2023-09-22 23:07:58,974,6
2023-09-22 23:07:58,978,2
2023-09-22 23:07:58,981,0
2023-09-22 23:07:58,983,0
2023-09-22 23:07:59,983,0
2023-09-22 23:07:59,985,0
2023-09-22 23:07:59,986,0
2023-09-22 23:07:59,985,0
2023-09-22 23:07:59,986,0
2023-09-22 23:07:59,985,0
2023-09-22 23:07:59,981,0
2023-09-22 23:07:59,982,0
2023-09-22 23:07:59,981,0
2023-09-22 23:07:59,981,0
2023-09-22 23:08:00,981,0
2023-09-22 23:08:00,980,0
2023-09-22 23:08:00,980,0
2023-09-22 23:08:00,984,0
2023-09-22 23:08:00,980,0
2023-09-22 23:08:00,984,0
2023-09-22 23:08:00,985,0
2023-09-22 23:08:00,985,0
2023-09-22 23:08:00,986,0
2023-09-22 23:08:00,983,0
